"id","question","options","answer","storylineHintKey","fallbackHint"
"1","What is the name of the famous castle on Heart Island?","Singer Castle|Boldt Castle|Castle Rest|Jorstadt Castle","Boldt Castle","boldt_secret_1","Boldt Castle's construction on Heart Island was famously halted in 1904 after the death of George Boldt's wife, Louise."
"2","Which two countries share the Thousand Islands?","USA & Mexico|Canada & France|USA & Canada|UK & USA","USA & Canada","border_mystery_1","The USA-Canada border runs through the Thousand Islands, with some islands being split between the two countries."
"3","What is the smallest inhabited island in the Thousand Islands called?","Just Room Enough Island|Little Island|Tiny Isle|One Tree Island","Just Room Enough Island","small_island_clue_1","Just Room Enough Island, owned by the Sizeland family, has just enough room for a house and a tree, making it the smallest inhabited island."
"4","The St. Lawrence Seaway connects the Great Lakes to which ocean?","Pacific Ocean|Arctic Ocean|Atlantic Ocean|Indian Ocean","Atlantic Ocean","seaway_journey_1","The St. Lawrence Seaway is a system of locks and channels that allows ships to travel from the Great Lakes all the way to the Atlantic Ocean."
"5","Which famous pirate is rumored to have hidden treasure in the Thousand Islands?","Blackbeard|Captain Kidd|Calico Jack|Bill Johnston","Bill Johnston","pirate_treasure_1","Bill Johnston was an American pirate and smuggler who was active in the Thousand Islands region during the Patriot War in the 1830s."
"6","What is the main purpose of the Thousand Islands Bridge?","Scenic views only|Connecting Ontario and New York State|Pedestrian traffic only|Railroad transport","Connecting Ontario and New York State","bridge_info_1","The Thousand Islands Bridge is a series of bridges connecting Interstate 81 in New York with Highway 401 in Ontario, facilitating international travel and commerce."
"7","Which of these is a popular water activity in the Thousand Islands?","Surfing|Scuba diving to shipwrecks|Whale watching|White-water rafting","Scuba diving to shipwrecks","water_activity_1","The clear, fresh water of the St. Lawrence River preserves many historic shipwrecks, making it a top destination for scuba divers."
"8","Boldt Castle was built by George C. Boldt as a tribute to whom?","His mother|His daughter|His wife, Louise|Queen Victoria","His wife, Louise","boldt_secret_2","George C. Boldt, the wealthy proprietor of the Waldorf-Astoria Hotel, intended Boldt Castle as a grand gift for his beloved wife, Louise."
"9","Approximately how many islands are there in the 'Thousand Islands' archipelago?","Exactly 1000|Around 500|Over 1800|Less than 700","Over 1800","island_count_1","To be counted as one of the Thousand Islands, a piece of land must be above water year-round and support at least two living trees. There are 1,864 such islands."
"10","What popular salad dressing is said to have originated in the Thousand Islands region?","Ranch Dressing|Caesar Dressing|Thousand Island Dressing|Blue Cheese Dressing","Thousand Island Dressing","dressing_origin_1","Legend says Thousand Island Dressing was first created by Sophia LaLonde, wife of a fishing guide, and later served at the Herald Hotel in Clayton, NY."
"11","Dark Island is home to what historic structure?","A lighthouse|Singer Castle|A modern art museum|A nature preserve","Singer Castle","singer_castle_1","Singer Castle, built by Commodore Frederick Bourne of the Singer Sewing Machine Company, is known for its intricate architecture and secret passages."
"12","What is the primary type of rock that forms the islands?","Granite|Sandstone|Limestone|Marble","Granite","geology_rock_1","The islands are the tops of ancient granite hills of the Frontenac Arch, a stretch of the Canadian Shield that connects to the Adirondack Mountains."
"13","The Clayton Antique Boat Museum showcases what type of vessels?","Modern speedboats|Freshwater antique and classic wooden boats|Submarines|Viking longships","Freshwater antique and classic wooden boats","boat_museum_1","The Antique Boat Museum in Clayton, NY, holds the largest collection of freshwater antique and classic boats in North America."
"14","What does the term 'River Rat' affectionately refer to in this region?","A type of invasive rodent|Locals who are knowledgeable about the St. Lawrence River|A famous steamboat|A mythical river creature","Locals who are knowledgeable about the St. Lawrence River","river_rat_meaning_1","A 'River Rat' is a fond nickname for someone who grew up on or is intimately familiar with the life and lore of the St. Lawrence River."
"15","Which of these fish species is a prized catch for anglers in the St. Lawrence River?","Piranha|Muskellunge (Muskie)|Clownfish|Swordfish","Muskellunge (Muskie)","fish_expert_clue","The Muskellunge, or 'Muskie,' is a large, powerful, and elusive freshwater predator, making it a highly sought-after trophy fish."
"16","The construction of Boldt Castle was halted in what year?","1904|1898|1920|1912","1904","boldt_construction_1","In 1904, George Boldt telegraphed the island to immediately stop all construction following the sudden death of his wife, Louise."
"17","What is the name of the scenic byway that runs along the St. Lawrence River on the US side?","River Road|The Great Lakes Seaway Trail|Island View Drive|The King's Highway","The Great Lakes Seaway Trail","scenic_byway_1","The Great Lakes Seaway Trail is a National Scenic Byway in the U.S. that follows the shores of the St. Lawrence River, Lake Ontario, and Lake Erie."
"18","Which island is known for having a U.S. Post Office that is the smallest in the country?","Wellesley Island|Grindstone Island|Sugar Island (unofficial)|Picton Island","Sugar Island (unofficial)","smallest_post_office_1","While not officially a post office building, the small structure on Sugar Island serves as a mail drop-off and is humorously called the smallest in the U.S."
"19","The 'Lost Ships of the 1000 Islands' refers to what?","A fictional novel series|A collection of well-preserved shipwrecks|A fleet that vanished mysteriously|A type of mirage seen on the river","A collection of well-preserved shipwrecks","lost_ships_1","Due to the cold, fresh water, numerous shipwrecks from the past two centuries are remarkably preserved on the riverbed, creating a 'museum' for divers."
"20","What material was primarily used for the exterior of Singer Castle?","Local granite|Imported Italian marble|Red brick|Timber","Local granite","singer_castle_material_1","Singer Castle was constructed using granite quarried from a nearby island, Oak Island, giving it a strong, local character."
"21","Which Canadian city is a major gateway to the Thousand Islands?","Toronto|Montreal|Kingston|Ottawa","Kingston","canadian_gateway_1","Located where the St. Lawrence River meets Lake Ontario, the historic city of Kingston, ON, is a primary starting point for exploring the islands."
"22","The story of 'Just Room Enough Island' involves a family named?","The Boldts|The Singers|The Sizelands|The Johnstons","The Sizelands","just_room_enough_family_1","The Sizeland family bought the tiny island, originally named Hub Island, in the 1950s and built a house that covers nearly every square foot of it."
"23","What important international agreement led to the creation of the St. Lawrence Seaway?","The Treaty of Paris|The Webster-Ashburton Treaty|The St. Lawrence Seaway Agreement of 1954|The Jay Treaty","The St. Lawrence Seaway Agreement of 1954","seaway_agreement_1","In 1954, Canada and the United States signed an agreement to jointly construct the St. Lawrence Seaway, a monumental engineering project."
"24","Bill Johnston, the 'Pirate of the Thousand Islands', aided which side during the Patriot War?","The British Crown|The American Patriots/Rebels|He remained neutral|The French forces","The American Patriots/Rebels","bill_johnston_allegiance_1","During the Patriot War of 1837-38, Bill Johnston used his intimate knowledge of the islands to help Canadian rebels seeking independence from Britain."
"25","What is the Power Authority's visitor center near Massena, NY, that offers views of the St. Lawrence-FDR Power Project?","Boldt Castle Visitor Center|Hawkins Point Visitors Center (Frank S. McCullough, Jr. Powerhouse)|Minna Anthony Common Nature Center|Aquatarium","Hawkins Point Visitors Center (Frank S. McCullough, Jr. Powerhouse)","power_authority_center_1","The Hawkins Point Visitors Center provides panoramic views of the massive St.Lawrence-FDR hydroelectric dam, a key part of the Seaway project."
